RecordedDate,response_id,Q1_a,Q1_b,Q1_c,Q1_d,Q1_e,Q2_a,Q2_b,Q2_c,Q2_d,Q2_e,Q3_a,Q3_b,Q3_c,Q4_a,Q4_b,Q4_c,Q5_a,Q5_b,Q6_a,Q6_b,Q7_a,Q7_b,Q7_c,Q7_d,Q7_e,Q8_a,Q8_b,Q8_c,Q8_d,Q8_e,Q10,Q11_a,Q11_b,Q11_c,Q11_d,Q12_a,Q12_b,Q12_c,Q12_d,wave,Q17,Q18,Q19,Q20,t_c
3/26/22 18:09,15,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,
8/4/22 9:34,16,3,6,6,6,7,3,6,7,7,7,6,6,6,6,6,6,2,2,1,1,1,1,1,2,2,1,1,1,1,1,2,5,6,6,6,5,6,6,6,1,,,,,
8/2/22 17:33,17,1,5,5,5,6,1,1,5,5,5,5,5,4,6,3,5,1,2,1,1,1,1,1,1,3,1,1,1,1,1,2,6,6,6,7,6,5,6,6,1,,,,,
8/11/22 12:12,17,6,6,6,6,6,6,3,3,6,7,7,5,6,7,4,6,,,,,,,,,,,,,,,,7,7,7,7,7,6,7,7,2,Poor,Poor,6,4,
7/5/22 16:11,17,2,3,3,6,2,1,1,1,5,2,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,6,6,5,5,5,7,6,3,,,,,0
3/28/22 15:42,18,3,4,3,7,7,3,3,3,7,4,7,6,6,7,6,6,2,2,1,1,1,2,2,1,2,1,1,1,1,1,2,4,7,7,7,3,7,7,7,1,,,,,
6/16/22 16:24,19,3,5,5,5,5,3,5,5,5,5,6,5,6,7,6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,7,7,7,5,7,7,7,1,,,,,
7/12/22 11:48,19,4,6,6,6,6,4,6,6,6,6,,,,,,,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,4,6,6,4,4,7,7,4,3,,,,,0
7/29/22 9:15,20,5,5,5,5,5,5,5,5,5,5,5,6,6,5,6,6,,,,,,,,,,,,,,,,6,5,6,6,6,5,6,6,2,Good,Excellent,6,6,
8/30/22 16:35,21,7,7,6,7,7,7,7,6,7,7,7,7,7,7,7,7,,,,,,,,,,,,,,,,7,6,7,7,7,6,7,7,2,Excellent,Excellent,7,7,
3/23/22 9:30,22,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,
6/15/22 9:08,22,7,7,6,7,7,7,7,6,7,7,7,7,7,7,7,7,,,,,,,,,,,,,,,,4,4,4,4,4,4,4,4,2,Excellent,Excellent,7,7,
7/7/22 9:16,22,6,7,6,7,7,6,7,6,7,7,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,7,7,7,6,7,7,7,3,,,,,1
9/2/22 11:21,23,,,,,,,,,,,,,,,,,2,2,1,1,,,,,,,,,,,,7,7,7,7,7,7,7,7,1,,,,,
8/30/22 12:15,23,5,6,5,6,6,5,6,5,6,6,7,6,6,7,6,6,,,,,,,,,,,,,,,,5,6,7,6,5,6,7,6,2,Good,Good,6,6,
8/8/22 11:12,24,2,3,5,6,2,2,4,6,7,2,6,6,6,7,6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,6,6,3,2,6,6,3,1,,,,,
8/17/22 12:25,24,5,5,6,6,5,5,5,7,7,5,7,6,6,7,7,6,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,Good,Good,6,6,
7/13/22 17:08,24,2,4,5,6,5,2,3,6,6,5,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,,,,,0
8/9/22 13:20,25,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,,,,,,,,,,,,,,,,6,6,6,6,6,6,6,6,2,Good,Good,6,6,
7/21/22 12:48,26,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,,,,,,,,,,,,,,,,7,7,7,7,7,7,7,7,2,Good,Good,7,7,
7/21/22 13:38,27,6,7,7,7,7,6,7,7,7,7,6,6,6,6,6,6,,,,,,,,,,,,,,,,5,7,7,7,5,7,7,7,2,Good,Average,2,4,
7/10/22 13:22,27,6,7,7,7,7,6,7,7,7,7,,,,,,,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,7,7,7,7,7,7,7,7,3,,,,,0
3/17/22 12:07,28,3,3,3,3,2,5,5,5,5,5,3,5,5,4,5,5,5,5,1,1,,,,,,,,,,,,3,5,5,5,5,7,7,5,1,,,,,
4/18/22 13:03,29,5,6,6,5,6,5,6,6,5,6,6,5,5,6,5,5,2,2,2,2,1,1,1,1,2,1,1,1,1,2,1,4,6,6,4,4,6,6,4,1,,,,,
8/30/22 17:58,30,6,6,6,6,6,6,6,6,6,6,6,6,7,6,6,6,,,,,,,,,,,,,,,,4,7,7,6,4,7,7,7,2,Excellent,Excellent,7,4,
3/17/22 12:44,31,1,3,3,3,2,1,1,1,2,1,6,4,5,6,3,3,5,5,1,1,1,1,1,1,1,1,1,1,1,1,2,5,6,6,5,5,6,7,4,1,,,,,
4/20/22 12:10,32,2,3,7,5,6,5,5,7,7,6,7,3,2,7,6,5,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,6,7,7,5,6,7,7,6,1,,,,,
8/8/22 11:17,33,5,5,6,5,5,5,6,6,5,5,7,5,7,7,6,7,2,2,1,1,2,1,2,1,2,1,1,1,1,1,2,6,7,7,5,6,7,7,6,1,,,,,
8/25/22 15:47,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
7/12/22 11:54,34,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,7,7,7,7,7,7,7,1,,,,,
8/15/22 10:07,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
6/17/22 14:51,36,,,,,,,,,,,,,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,1,,,,,
8/24/22 15:59,36,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,,,,,,,,,,,,,,,,7,7,7,7,7,7,7,7,2,Good,Good,6,6,
7/5/22 13:15,36,5,5,6,5,6,5,6,6,5,6,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,6,5,6,5,6,5,6,3,,,,,0
8/22/22 9:57,37,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,6,6,6,6,6,6,1,,,,,
7/29/22 8:46,37,6,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,,,,,,,,,,,,,,,,6,7,7,6,7,7,7,7,2,Excellent,Average,7,6,
8/7/22 9:02,38,6,6,7,7,6,6,6,7,7,6,7,6,6,7,6,6,,,,,,,,,,,,,,,,5,7,7,7,6,7,7,7,2,Excellent,Good,6,6,
3/23/22 10:01,39,5,6,6,5,6,5,6,6,5,6,6,6,6,6,6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,6,6,6,6,6,6,1,,,,,
3/29/22 9:16,39,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,,,,,,,,,,,,,,,,6,6,6,6,6,6,6,6,2,Average,Excellent,6,6,
5/24/22 9:15,40,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,6,6,6,6,7,7,7,1,,,,,
7/29/22 9:09,41,6,7,6,6,6,6,7,6,6,6,7,7,6,7,7,6,,,,,,,,,,,,,,,,4,6,6,6,4,7,7,6,2,Good,Good,7,6,
7/8/22 10:26,41,6,7,6,6,6,5,7,6,6,6,,,,,,,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,4,6,6,6,5,6,6,6,3,,,,,0
8/9/22 15:33,42,4,4,6,4,4,4,4,6,4,4,6,5,6,6,6,6,1,2,1,2,2,1,1,2,1,2,1,1,2,1,3,6,7,7,5,6,7,7,5,1,,,,,
8/17/22 11:02,42,6,7,7,7,6,6,7,7,7,6,7,7,7,7,7,7,,,,,,,,,,,,,,,,6,7,7,6,6,7,7,6,2,Good,Excellent,7,7,
7/11/22 14:12,42,5,6,5,6,5,5,7,6,5,6,,,,,,,1,2,1,1,2,1,1,1,2,2,1,1,1,1,3,6,7,7,7,5,7,7,7,3,,,,,0
8/30/22 14:56,43,3,3,3,3,3,3,3,3,3,3,6,3,4,7,4,4,2,1,1,1,2,1,2,1,1,1,1,1,1,1,2,2,3,6,2,2,6,6,2,1,,,,,
8/30/22 17:03,43,6,5,5,5,6,6,5,5,5,6,6,5,6,6,5,6,,,,,,,,,,,,,,,,6,6,6,6,6,6,6,6,2,Excellent,Good,6,6,
8/9/22 16:03,44,5,4,5,5,5,5,6,5,6,5,6,6,6,6,6,6,,,,,,,,,,,,,,,,4,6,6,6,4,6,6,6,2,Good,Good,4,4,
6/6/22 8:04,45,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1,2,1,1,2,2,1,1,2,1,1,1,1,1,2,6,7,7,7,7,7,7,7,1,,,,,
3/22/22 8:43,46,5,6,7,5,5,6,5,5,7,7,7,5,5,7,6,6,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,
3/24/22 17:09,46,6,6,7,7,7,6,6,7,7,7,7,6,7,7,7,7,,,,,,,,,,,,,,,,7,7,7,7,7,7,7,7,2,Excellent,Excellent,7,7,
7/6/22 17:14,46,6,6,7,6,7,6,6,7,6,7,,,,,,,1,2,1,1,2,1,1,1,1,2,1,1,1,1,2,5,4,4,4,6,4,4,4,3,,,,,1
6/13/22 15:42,47,7,7,5,7,7,5,5,5,7,6,7,7,7,7,7,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,
3/23/22 16:48,48,2,6,5,6,5,2,6,5,6,5,7,7,7,7,7,7,5,5,1,2,1,2,1,1,2,1,1,1,1,1,2,4,7,6,6,6,7,6,6,1,,,,,
8/8/22 17:23,49,3,3,3,3,5,3,3,2,3,5,4,3,5,5,5,5,2,2,1,1,1,1,1,1,2,1,1,1,1,1,2,2,6,3,6,3,5,4,6,1,,,,,
8/9/22 15:15,49,6,5,5,6,6,6,5,5,6,6,6,5,6,6,5,6,,,,,,,,,,,,,,,,5,6,5,6,7,7,7,7,2,Average,Good,6,4,
7/11/22 10:39,49,5,4,5,6,6,5,5,4,6,6,,,,,,,1,2,1,2,1,1,1,1,2,1,1,1,1,1,2,2,6,4,6,2,7,7,6,3,,,,,0
5/4/22 10:59,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
8/30/22 18:35,51,6,6,6,7,6,6,5,6,7,6,7,7,7,7,7,7,,,,,,,,,,,,,,,,6,4,4,5,6,4,4,5,2,Excellent,Excellent,6,7,
7/29/22 8:45,52,2,4,6,6,4,2,4,6,6,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,1,,,,,
8/2/22 11:50,52,4,4,6,4,4,4,4,4,4,4,4,6,6,4,6,6,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,2,Good,Good,6,4,
7/13/22 11:40,52,1,4,4,4,4,1,4,4,4,4,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,1,1,5,5,1,3,,,,,0
5/31/22 11:35,53,,,,,,,,,,,,,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,1,,,,,
8/1/22 10:42,54,4,6,6,6,6,4,6,6,6,6,7,7,7,7,7,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,7,7,1,7,7,7,1,,,,,
8/8/22 10:50,55,3,5,6,6,6,3,5,6,6,6,7,7,7,7,7,7,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,5,7,7,7,5,7,7,7,1,,,,,
8/22/22 10:58,55,3,6,5,6,6,3,5,6,6,6,7,6,6,7,6,6,,,,,,,,,,,,,,,,4,7,7,7,4,7,7,7,2,Average,Good,6,4,
8/8/22 12:25,56,5,7,6,6,7,5,7,6,6,7,7,6,6,7,6,6,1,1,1,1,2,1,1,1,1,,,,,,1,4,4,4,4,4,4,4,4,1,,,,,
6/7/22 11:11,57,6,7,7,7,7,6,4,7,7,7,7,4,4,7,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,7,6,7,7,7,7,4,1,,,,,
7/11/22 12:36,57,6,7,7,7,6,6,7,7,7,7,,,,,,,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,7,7,7,7,7,7,7,7,3,,,,,1
5/24/22 10:37,58,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,4,4,1,1,1,1,1,2,1,1,1,1,1,2,2,5,6,5,5,6,6,6,1,,,,,
7/14/22 11:31,58,5,5,5,5,5,5,5,5,5,5,,,,,,,6,5,1,1,1,1,1,1,1,1,1,1,1,1,1,4,5,5,5,4,5,5,5,3,,,,,1
4/6/22 12:16,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
4/19/22 13:39,60,5,6,6,7,7,4,3,3,6,6,6,6,5,6,5,5,1,3,1,1,1,1,1,1,1,1,1,1,1,1,2,2,6,6,6,2,6,6,6,1,,,,,
4/21/22 9:46,60,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,,,,,,,,,,,,,,,,1,6,6,6,1,6,6,6,2,Good,Poor,4,4,
6/13/22 12:11,61,5,3,3,6,7,5,5,6,6,7,7,6,6,7,6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,2,2,5,5,6,6,1,,,,,
8/30/22 12:16,61,5,5,5,6,5,5,5,5,5,5,7,6,6,7,6,6,,,,,,,,,,,,,,,,2,6,6,6,2,6,6,6,2,Average,Average,6,4,
7/11/22 14:07,61,2,3,3,3,5,3,2,3,3,5,,,,,,,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,,,,,0
8/8/22 14:49,62,3,5,7,5,6,3,5,7,7,6,7,5,6,7,5,6,1,2,1,1,2,1,2,2,2,1,1,1,1,1,1,7,7,7,7,7,7,7,7,1,,,,,
8/30/22 17:28,62,6,5,6,6,6,6,6,7,7,7,7,5,7,7,6,7,,,,,,,,,,,,,,,,7,7,7,7,7,7,7,7,2,Good,Good,7,7,
8/9/22 10:11,63,3,5,3,3,2,3,4,3,2,2,5,5,5,5,5,5,2,2,1,1,1,1,1,1,1,1,1,1,1,1,3,4,4,5,2,4,4,6,5,1,,,,,
8/30/22 17:41,64,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,,,,,,,,,,,,,,,,6,1,1,7,7,6,6,7,2,Excellent,Excellent,7,6,
8/2/22 11:19,65,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,,,,,,,,,,,,,,,,7,7,7,7,7,7,7,7,2,Excellent,Excellent,7,7,
3/23/22 21:51,66,3,5,6,4,6,3,6,6,4,7,7,7,7,7,6,7,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,5,6,5,6,5,6,5,6,1,,,,,
8/16/22 12:31,67,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,,,,,,,,,,,,,,,,6,7,7,7,7,7,7,7,2,Average,Average,6,2,
4/14/22 16:12,68,7,7,6,7,7,6,6,6,7,7,7,5,6,7,6,7,1,2,1,1,1,1,1,1,2,1,1,1,1,1,2,4,7,7,7,4,7,7,7,1,,,,,
5/9/22 15:36,68,7,6,6,7,7,7,6,6,7,7,7,6,6,7,6,6,,,,,,,,,,,,,,,,4,7,7,7,4,7,7,7,2,Excellent,Good,7,7,
7/11/22 13:22,69,6,3,3,6,6,6,3,3,6,6,,,,,,,2,2,2,2,2,1,1,1,2,2,1,1,1,2,2,4,4,4,4,4,4,4,4,3,,,,,1
8/12/22 10:55,70,,,,,,,,,,,,,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,1,,,,,
8/2/22 11:40,70,5,6,6,7,5,5,6,6,7,5,7,7,7,7,7,7,,,,,,,,,,,,,,,,6,7,7,6,6,7,7,6,2,Excellent,Excellent,7,7,
7/8/22 13:28,70,5,7,7,7,6,5,7,7,7,7,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,7,7,7,7,7,7,7,3,,,,,0
5/23/22 10:58,71,7,5,7,7,7,7,5,7,7,7,7,5,6,7,6,6,1,3,1,2,1,1,1,1,2,1,1,1,1,2,2,4,6,4,4,4,6,6,6,1,,,,,
7/11/22 15:13,71,5,6,6,6,5,6,6,6,6,5,,,,,,,3,4,2,3,2,2,1,1,3,1,2,1,2,2,2,5,6,3,5,3,5,4,5,3,,,,,1
3/18/22 10:58,72,7,5,4,7,6,7,5,4,7,6,4,4,7,4,4,7,1,1,1,1,2,1,1,1,1,2,1,1,1,1,2,4,5,7,7,4,5,7,7,1,,,,,
7/11/22 12:59,72,5,4,4,5,5,5,4,4,5,5,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,6,6,4,4,6,6,3,,,,,1
3/25/22 10:15,73,1,3,5,1,6,1,3,6,6,6,7,7,3,7,7,7,5,1,1,1,4,5,2,4,4,1,1,1,1,1,5,7,5,1,7,7,7,5,7,1,,,,,
3/25/22 10:19,73,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,,,,,,,,,,,,,,,,7,7,7,7,7,7,7,7,2,Excellent,Excellent,7,7,
7/8/22 13:59,73,1,3,5,1,6,1,5,5,1,5,,,,,,,6,4,1,1,5,5,5,1,5,4,1,1,1,1,4,5,5,7,7,2,6,7,7,3,,,,,1
3/22/22 10:09,74,4,4,4,4,4,4,4,4,5,5,4,4,4,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,5,5,5,4,5,5,5,1,,,,,
8/22/22 10:45,75,5,7,7,7,7,5,7,7,7,7,7,6,6,7,6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,6,6,6,6,6,6,1,,,,,
8/24/22 17:52,75,7,7,7,7,7,7,7,7,7,7,7,5,6,7,5,6,,,,,,,,,,,,,,,,7,7,7,7,7,7,7,7,2,Excellent,Excellent,7,7,
6/6/22 13:55,76,5,6,5,5,6,5,6,5,5,6,4,6,6,4,6,6,1,1,1,1,1,1,1,1,3,1,1,1,1,3,1,4,5,5,5,4,5,5,5,1,,,,,
5/5/22 11:10,77,5,5,5,5,7,5,5,6,6,7,7,5,6,7,5,6,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,6,6,6,7,7,7,7,7,1,,,,,
8/1/22 15:15,78,6,6,6,6,6,6,6,6,6,6,5,6,6,5,6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,7,7,6,4,7,7,6,1,,,,,
8/2/22 12:16,78,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,,,,,,,,,,,,,,,,6,6,6,6,6,6,6,6,2,Excellent,Excellent,7,6,
8/5/22 11:47,79,7,7,7,7,6,7,7,6,7,6,7,7,6,6,6,6,,,,,,,,,,,,,,,,1,7,7,6,1,7,7,6,2,Average,Very poor,2,1,
7/12/22 11:21,79,7,7,7,7,7,7,7,7,7,7,,,,,,,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,4,4,7,4,4,4,7,4,3,,,,,0
3/23/22 15:29,80,5,6,7,7,6,5,6,7,7,6,7,7,7,7,7,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,7,7,5,6,7,7,6,1,,,,,
3/17/22 12:21,81,6,7,7,7,7,6,7,7,7,7,7,7,6,7,7,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,7,7,6,6,7,7,6,1,,,,,
6/2/22 11:35,82,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,7,4,7,7,7,1,,,,,
6/7/22 11:50,83,2,2,2,2,4,2,3,2,4,4,4,6,6,4,5,5,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,1,,,,,
8/30/22 12:13,83,5,6,5,7,7,5,6,6,7,7,7,7,7,7,7,7,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,2,Excellent,Excellent,7,7,
8/9/22 12:35,84,7,7,7,7,7,7,7,7,7,7,6,6,6,7,7,7,,,,,,,,,,,,,,,,5,6,6,6,5,7,7,7,2,Excellent,Good,6,6,
6/24/22 11:51,85,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,,,,,,,,,,,,,,,,7,7,7,7,7,7,7,7,2,Excellent,Excellent,7,7,
7/11/22 12:38,85,6,6,6,6,6,6,6,6,6,6,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,7,7,7,7,7,7,7,3,,,,,1
3/21/22 15:44,86,2,5,7,7,7,2,5,7,7,7,7,7,7,7,7,7,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,6,6,6,6,6,6,1,,,,,
3/28/22 15:27,86,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,,,,,,,,,,,,,,,,7,7,7,7,7,7,7,7,2,Excellent,Good,6,6,
7/10/22 9:32,86,6,6,6,6,6,6,6,6,6,6,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,,,,,1
5/4/22 11:52,87,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1,,1,1,2,1,1,1,2,2,1,1,1,2,4,7,7,7,7,7,7,7,7,1,,,,,
5/9/22 15:02,87,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,,,,,,,,,,,,,,,,6,7,7,7,6,7,7,7,2,Excellent,Excellent,7,7,
7/5/22 13:00,87,7,5,7,7,7,7,5,7,7,7,,,,,,,,,,,1,1,1,1,5,1,1,1,1,5,5,4,7,7,7,4,7,7,7,3,,,,,1
5/5/22 11:14,88,5,4,7,7,7,5,4,7,7,7,7,5,6,7,5,6,2,2,1,1,2,2,2,2,2,1,1,1,1,1,5,7,7,7,7,7,7,7,7,1,,,,,
7/5/22 14:40,88,7,6,6,7,6,7,6,6,7,6,,,,,,,2,2,1,1,2,2,2,1,2,2,1,1,1,2,5,6,7,7,6,6,7,7,6,3,,,,,1
3/23/22 14:16,89,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,6,6,6,4,4,4,4,1,,,,,
7/5/22 15:33,89,4,4,4,4,4,4,4,4,4,4,,,,,,,1,3,1,1,1,1,1,1,2,1,1,1,1,1,1,5,4,4,5,4,4,5,4,3,,,,,1
6/6/22 12:11,90,5,5,6,5,4,4,4,4,4,4,6,5,5,6,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,6,2,2,,6,,,1,,,,,
7/12/22 10:22,90,3,4,6,4,6,3,4,7,6,6,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,3,,,,,1
